,Quantity,Price,Value,Portfolio %age
AMN,400,43.06,17224.0,7.34%
CTL,94,10.01,940.94,0.40%
CS,12620,8.25,104115.0,44.36%
DELL,99,40.19,3978.81,1.70%
GE,4500,6.2,27900.0,11.89%
KHC,23,28.94,665.62,0.28%
LITE,40,82.04,3281.6,1.40%
MDLZ,69,50.32,3472.08,1.48%
MO,100,36.8,3680.0,1.57%
MSI,142,140.82,19996.44,8.52%
PM,100,72.2,7220.0,3.08%
RBBN,100,3.26,326.0,0.14%
SLV,1000,13.93,13930.0,5.94%
TBT,20,15.76,315.2,0.13%
TXN,200,111.54,22308.0,9.51%
VIAV,200,12.13,2426.0,1.03%
XRP-USD,7000,0.2214974,1550.48,0.66%
XLM-USD,9931,0.073080994,725.77,0.31%
LTC-USD,2,47.567245,95.13,0.04%
EOS-USD,192,2.8074007,539.02,0.23%
